"","means_0","means_1","means_2","means_3","means_4","subsystem","hmr","mar"
"HMR_4130",0.0450035315988641,0.030483027050407,0.0260705495664043,0.0213402745290615,0.0225117017295646,"Galactose metabolism","HMR_4130","MAR04130"
"HMR_8767",0.0450035315988641,0.030483027050407,0.0260705495664043,0.0213402745290615,0.0225117017295646,"Galactose metabolism","HMR_8767","MAR08767"
"HMR_0454",0,3.87822014051522e-05,0.000124657075945132,7.62928552232502e-05,7.86885245901638e-05,"Fructose and mannose metabolism","HMR_0454","MAR00454"
"HMR_4193",0.00371948281541446,0.00573266310187091,0.00370762668775371,0.00617726822063026,0.00655681046335274,"Pyruvate metabolism","HMR_4193","MAR04193"
"HMR_4304",0.000154791569086651,7.73957845433255e-05,0.000138206758113081,0.000267778213565725,0.000224335607371958,"Pentose phosphate pathway","HMR_4304","MAR04304"
"HMR_4350",0,0,3.21421323216783e-16,0.00297513874217866,0.00707356202402512,"Pentose phosphate pathway","HMR_4350","MAR04350"
"HMR_4352",0.0394931462628766,0.0812564719065524,0.0761899163169271,0.0768864019077289,0.0788233030609179,"Pentose phosphate pathway","HMR_4352","MAR04352"
"HMR_4354",0.0610514289961886,0.123696417461702,0.116096584077265,0.120116451205646,0.127120226217276,"Pentose phosphate pathway","HMR_4354","MAR04354"
"HMR_4404",0.0197465731314383,0.0406282359532762,0.0380949581584636,0.0384432009538645,0.039411651530459,"Pentose phosphate pathway","HMR_4404","MAR04404"
"HMR_4477",-0.0165437400563212,-0.0309532196184783,-0.0483714863494181,-0.0330698118926213,-0.0447322743718372,"Pentose phosphate pathway","HMR_4477","MAR04477"
"HMR_4501",0.0197465731314383,0.0406282359532762,0.0380949581584636,0.0384432009538645,0.039411651530459,"Pentose phosphate pathway","HMR_4501","MAR04501"
"HMR_4565",0.0200183295717194,0.0406282359532762,0.0395968737497925,0.0385323014260878,0.0410130177002765,"Pentose phosphate pathway","HMR_4565","MAR04565"
"HMR_4567",0.00027175644028103,0,0.00150191559132894,0,0.00160136616981746,"Pentose phosphate pathway","HMR_4567","MAR04567"
"HMR_8653",0.000154791569086651,7.73957845433255e-05,0.000138206758113081,0.000267778213565725,0.000224335607371958,"Pentose phosphate pathway","HMR_8653","MAR08653"
"HMR_4002",1.29119795034078,1.18770598910558,1.14541190148495,1.12966528048487,1.12459708834797,"Purine metabolism","HMR_4002","MAR04002"
"HMR_4004",-0.00775644028101257,-0.00775644028103045,-0.00775644028102812,-0.00775644028103045,-0.00775644028103045,"Purine metabolism","HMR_4004","MAR04004"
"HMR_4020",-0.753130679156909,-0.753130679156909,-0.753130679156909,-0.753130679156909,-0.753130679156909,"Purine metabolism","HMR_4020","MAR04020"
"HMR_4080",0,0,0.000199369737215507,0,0,"Purine metabolism","HMR_4080","MAR04080"
"HMR_4085",0.192839237127104,0.0725288079680486,0.0417581435122833,0.0338011844379333,0.0206090905537019,"Purine metabolism","HMR_4085","MAR04085"
"HMR_4171",0.0272696693192472,0.0305681846603071,0.0323974238794707,0.0319864543294195,0.028876223384404,"Purine metabolism","HMR_4171","MAR04171"
"HMR_4418",0,0,0.000199369737215507,0,0,"Purine metabolism","HMR_4418","MAR04418"
"HMR_4421",0.0317399943792204,0.0193258173302079,0.0253882309732868,0.0157543492338359,0.0120078038063965,"Purine metabolism","HMR_4421","MAR04421"
"HMR_4452",-0.754036533957845,-0.754036533957845,-0.754036533957845,-0.754036533957845,-0.754036533957845,"Purine metabolism","HMR_4452","MAR04452"
"HMR_4480",-0.0659078341912806,-0.0311033758871001,-0.0258050404652332,-0.0147327077102443,-0.0157375316537763,"Purine metabolism","HMR_4480","MAR04480"
"HMR_4573",0.0700327868852458,0.0883651502619175,0.0893082302536717,0.0924707121141417,0.0952737548152671,"Purine metabolism","HMR_4573","MAR04573"
"HMR_4600",0.100046838407494,0.100046838407494,0.100046838407494,0.100046838407494,0.100046838407494,"Purine metabolism","HMR_4600","MAR04600"
"HMR_4603",-0.0668136889922167,-0.0320092306880369,-0.0267108952661701,-0.0156385625111811,-0.0166433864547131,"Purine metabolism","HMR_4603","MAR04603"
"HMR_4611",0.0794013188111053,0.118966881724141,0.123549253613053,0.134069191628109,0.133345064999367,"Purine metabolism","HMR_4611","MAR04611"
"HMR_4612",0.00476110460885434,0,0.000715963532955146,0.00126835827288713,0.00098766095809812,"Purine metabolism","HMR_4612","MAR04612"
"HMR_4651",0.0716499301671488,0.134294918632662,0.120656417988689,0.127645441108519,0.134314467828666,"Purine metabolism","HMR_4651","MAR04651"
"HMR_4695",0.0668136889922167,0.0320092306880369,0.0267108952661701,0.0156385625111811,0.0166433864547131,"Purine metabolism","HMR_4695","MAR04695"
"HMR_5353",-0.100046838407494,-0.100046838407494,-0.100046838407494,-0.100046838407494,-0.100046838407494,"Purine metabolism","HMR_5353","MAR05353"
"HMR_4016",-0.0359469795490474,-0.0040819843647472,-0.000630863164938107,-0.00289576534725689,-0.00368403413630588,"Purine metabolism","HMR_4016","MAR04016"
"HMR_4018",0.00060526766580388,0,0,0.000275300760740352,0,"Purine metabolism","HMR_4018","MAR04018"
"HMR_4044",49.946064029818,-0.0117775585568894,-0.00153536586531648,16.3898510196468,-0.00471738880547805,"Purine metabolism","HMR_4044","MAR04044"
"HMR_4291",0,0,0,-0.00031447335846059,0,"Purine metabolism","HMR_4291","MAR04291"
"HMR_4420",50,0,0,16.3934426229508,0,"Purine metabolism","HMR_4420","MAR04420"
"HMR_4570",-0.0350163934426221,-0.0116816881455766,-0.0111412009942372,-0.00831783477678627,-0.00597164005378365,"Purine metabolism","HMR_4570","MAR04570"
"HMR_4006",0.0192957002341921,0,0,0,0,"Pyrimidine metabolism","HMR_4006","MAR04006"
"HMR_4028",-0.0514625712204863,0,0,-0.00145909413556958,0,"Pyrimidine metabolism","HMR_4028","MAR04028"
"HMR_4030",-0.0849573770491803,-0.0849573770491803,-0.0849573770491803,-0.0849573770491803,-0.0849573770491803,"Pyrimidine metabolism","HMR_4030","MAR04030"
"HMR_4670",-0.100046838407498,-0.100046838407494,-0.100046838407494,-0.100046838407494,-0.100046838407494,"Pyrimidine metabolism","HMR_4670","MAR04670"
"HMR_6614",49.9849929742389,0,0,16.3909824547933,0,"Pyrimidine metabolism","HMR_6614","MAR06614"
"HMR_6615",50,0,0,16.3934426229508,0,"Pyrimidine metabolism","HMR_6615","MAR06615"
"HMR_4635",-50.0570729943269,-0.00897840551089809,-0.00743348473084257,-16.4009697047436,-0.00961824388621602,"Pyrimidine metabolism","HMR_4635","MAR04635"
"HMR_3931",0.0841624234199597,0.118966881724141,0.124265217146008,0.135337549900996,0.134332725957465,"Pyrimidine metabolism","HMR_3931","MAR03931"
"HMR_4032",0.0845860418458118,0.074633333872106,0.0923700483738025,0.0918888603376668,0.0964013027369577,"Pyrimidine metabolism","HMR_4032","MAR04032"
"HMR_4182",0.0296547284935873,0,0,0.00204484201635505,0,"Pyrimidine metabolism","HMR_4182","MAR04182"
"HMR_4194",0.0235652831018473,0,0.00165745484302285,5.98204908795541e-05,0.00310243319309303,"Pyrimidine metabolism","HMR_4194","MAR04194"
"HMR_4512",-0.0211112301838119,-0.0536592490859937,-0.0330056092942986,-0.0347847420032284,-0.0313720267842997,"Pyrimidine metabolism","HMR_4512","MAR04512"
"HMR_4577",0.585927132896315,0.706237562055369,0.742847524033456,0.748034696853578,0.761561539029284,"Pyrimidine metabolism","HMR_4577","MAR04577"
"HMR_4575",-0.038951756440281,-0.038951756440281,-0.038951756440281,-0.038951756440281,-0.038951756440281,"Pyrimidine metabolism","HMR_4575","MAR04575"
"HMR_4637",-0.15007025761124,-0.150070257611241,-0.150070257611241,-0.150070257611241,-0.150070257611241,"Pyrimidine metabolism","HMR_4637","MAR04637"
"HMR_4644",0.082698028840092,0.0900143079068916,0.10546109676707,0.0990630790841167,0.109546888032971,"Pyrimidine metabolism","HMR_4644","MAR04644"
"HMR_6627",0.0779902375232508,0.141091852100342,0.142636772880398,0.140083007660884,0.140452013725025,"Pyrimidine metabolism","HMR_6627","MAR06627"
"HMR_3967",0,0,0,-0.00157186815098507,0,"Nucleotide metabolism","HMR_3967","MAR03967"
"HMR_4024",-0.164872245184504,-0.234977595328207,-0.216187518665271,-0.213734234492304,-0.204252069842596,"Nucleotide metabolism","HMR_4024","MAR04024"
"HMR_4026",-0.0822685513796254,-0.0826021760277749,-0.084226861069272,-0.0831903758267597,-0.0839757222594373,"Nucleotide metabolism","HMR_4026","MAR04026"
"HMR_4054",0.0673722287711479,0.0600559497043494,0.0446091608441712,0.051007178527125,0.0405233695782703,"Nucleotide metabolism","HMR_4054","MAR04054"
"HMR_4180",0.541054836488496,0.604227556057636,0.584833386712917,0.584867367084841,0.579357153999692,"Nucleotide metabolism","HMR_4180","MAR04180"
"HMR_4507",0.082698028840092,0.0900143079068916,0.10546109676707,0.0990630790841165,0.109546888032971,"Nucleotide metabolism","HMR_4507","MAR04507"
"HMR_4633",0.0668136889922167,0.0320092306880369,0.0267108952661701,0.0156385625111811,0.0166433864547131,"Nucleotide metabolism","HMR_4633","MAR04633"
"HMR_7160",0.500234192037471,0.500234192037471,0.500234192037471,0.500234192037471,0.500234192037471,"Nucleotide metabolism","HMR_7160","MAR07160"
"HMR_7162",2.10585480093677,2.10585480093677,2.10585480093677,2.10585480093677,2.10585480093677,"Nucleotide metabolism","HMR_7162","MAR07162"
"HMR_7800",0.0017664168618267,0.00067816821147968,0.00270264303254004,0.00406282772719771,0.0027680797158241,"Nucleotide metabolism","HMR_7800","MAR07800"
"HMR_7886",-50,0,0,-16.3934426229508,0,"Nucleotide metabolism","HMR_7886","MAR07886"
"HMR_8443",0,2.47718512369488e-16,0.00109044287387086,0.00144300695411205,0.00264598330782348,"Nucleotide metabolism","HMR_8443","MAR08443"
"HMR_8448",0,0,0,-0.000741708483433682,-0.00119855646155673,"Nucleotide metabolism","HMR_8448","MAR08448"
"HMR_8450",-0.00500234192037395,0,-0.000402592840414855,0,0,"Nucleotide metabolism","HMR_8450","MAR08450"
"HMR_8456",-0.0350163934426229,-0.0356939446404156,-0.0454508260096822,-0.0425008920303819,-0.0495320215695954,"Nucleotide metabolism","HMR_8456","MAR08456"
"HMR_8461",0,0,-0.000402592840414862,0,0,"Nucleotide metabolism","HMR_8461","MAR08461"
"HMR_8463",-0.0389168728606875,-0.0106936446810847,-0.0207852174226833,-0.0227612043738836,-0.0191427900535969,"Nucleotide metabolism","HMR_8463","MAR08463"
"HMR_8465",-0.0772344920713499,-0.0221412984287238,-0.0293859049229293,-0.0291853391755879,-0.0393620297849603,"Nucleotide metabolism","HMR_8465","MAR08465"
"HMR_8467",-0.331369217798595,-0.349890467537568,-0.340047444174464,-0.343095391610729,-0.335977429606457,"Nucleotide metabolism","HMR_8467","MAR08467"
"HMR_8469",0,0,-0.000402592840414855,-0.000884718397139972,0,"Nucleotide metabolism","HMR_8469","MAR08469"
"HMR_3802",-0.0105729983783368,-0.00722893115896887,-0.00761999022548404,-0.00912330386459199,-0.00701308615373846,"Alanine, aspartate and glutamate metabolism","HMR_3802","MAR03802"
"HMR_3831",0,0.00126819672131148,0,0.00041580220370868,0,"Alanine, aspartate and glutamate metabolism","HMR_3831","MAR03831"
"HMR_3899",-0.0675137947625921,-0.0739957388588501,-0.0623636975729562,-0.0447205729548917,-0.0420413142670034,"Alanine, aspartate and glutamate metabolism","HMR_3899","MAR03899"
"HMR_3956",0.0117521040045935,0.00976222278825253,0.0122869920296773,0.0133704507917027,0.0124969944341695,"Arginine and proline metabolism","HMR_3956","MAR03956"
"HMR_4190",-0.00468027507069225,-1.73472347597681e-19,1.10021020978832e-18,0,0,"Arginine and proline metabolism","HMR_4190","MAR04190"
"HMR_8607",0,0,0,0,0.00036788239574383,"Arginine and proline metabolism","HMR_8607","MAR08607"
"HMR_3839",0.00113231850117096,0.00792622950819671,0.0056615925058548,0.00445502361116443,0.00262566608967179,"Glycine, serine and threonine metabolism","HMR_3839","MAR03839"
"HMR_3841",0.00113231850117096,0.00792622950819672,0.0056615925058548,0.00445502361116443,0.00262566608967179,"Glycine, serine and threonine metabolism","HMR_3841","MAR03841"
"HMR_3845",-0.0023412602991071,-4.02783732851681,-3.40182528266953,-3.54244847610962,-3.83207047413975,"Glycine, serine and threonine metabolism","HMR_3845","MAR03845"
"HMR_4198",0,-6.10622663543835e-18,0.0128589747627524,0,-6.63720286460691e-18,"Glycine, serine and threonine metabolism","HMR_4198","MAR04198"
"HMR_4658",-0.00652856167912098,-0.00114890640079251,-0.00409657312748469,-0.0127367863114934,-0.0109524848222067,"Histidine metabolism","HMR_4658","MAR04658"
"HMR_8566",1.09763938179779,14.9225546151765,24.3598331913135,28.2211425682002,27.0545788531542,"Tryptophan metabolism","HMR_8566","MAR08566"
"HMR_3208",0.00351434815985064,0.00314623218357806,0.00361382622825103,0.00342340991133471,0.00376868543853389,"Valine, leucine, and isoleucine metabolism","HMR_3208","MAR03208"
"HMR_3213",0.00351434815985064,0.00314623218357806,0.00361382622825103,0.00342340991133471,0.00376868543853389,"Valine, leucine, and isoleucine metabolism","HMR_3213","MAR03213"
"HMR_3215",0.00351434815985064,0.00314623218357806,0.00361382622825103,0.00342340991133471,0.00376868543853389,"Valine, leucine, and isoleucine metabolism","HMR_3215","MAR03215"
"HMR_6725",0.0692978922716628,0.0785376112412178,0.0846225478415245,0.077167521123911,0.0857017411668873,"Phenylalanine, tyrosine and tryptophan biosynthesis","HMR_6725","MAR06725"
"HMR_3996",0.0193492012930982,0.0059051482598506,0.00140779281252952,0.00694552518020796,0.00428442270372914,"Cysteine and methionine metabolism","HMR_3996","MAR03996"
"HMR_4323",0,0.364612577755511,0.287920967196181,0.28887170533931,0.252044669435914,"Cysteine and methionine metabolism","HMR_4323","MAR04323"
"HMR_5390",0,0,0,-4.23905275635726e-19,0.00036788239574383,"Cysteine and methionine metabolism","HMR_5390","MAR05390"
"HMR_8682",0.000647344262295082,0.000550135831381733,0.000679391100702581,0.000596174607440397,0.000590774870176151,"Cysteine and methionine metabolism","HMR_8682","MAR08682"
"HMR_4116",0.000258510538641686,0.000355718969555035,0.000226463700234192,0.000309680193496372,0.000315079930760615,"Glutathione metabolism","HMR_4116","MAR04116"
"HMR_4176",0.0917264637002345,0,0,0,0,"Glutathione metabolism","HMR_4176","MAR04176"
"HMR_4329",0.0917264637002345,0,0,0,0,"Glutathione metabolism","HMR_4329","MAR04329"
"HMR_3988",0.0268400534376284,0.0172675030939413,0.0401470495518865,0.0334307572436071,0.029997671346518,"Amino sugar and nucleotide sugar metabolism","HMR_3988","MAR03988"
"HMR_4158",0.426040964888253,0.440561469436711,0.44255646535975,0.447298120702121,0.446454000836872,"Amino sugar and nucleotide sugar metabolism","HMR_4158","MAR04158"
"HMR_4159",0.045003531598866,0.0304830270504081,0.028488031127369,0.0237463757849987,0.0245904956502477,"Amino sugar and nucleotide sugar metabolism","HMR_4159","MAR04159"
"HMR_4524",0.426040964888253,0.440561469436711,0.44255646535975,0.447193200532273,0.446454000836872,"Amino sugar and nucleotide sugar metabolism","HMR_4524","MAR04524"
"HMR_4527",0.180014126395464,0.121932108201633,0.113952124509476,0.094985503139995,0.0983619826009906,"Amino sugar and nucleotide sugar metabolism","HMR_4527","MAR04527"
"HMR_4631",0.426040964888253,0.440561469436711,0.44255646535975,0.447298120702121,0.446454000836872,"Amino sugar and nucleotide sugar metabolism","HMR_4631","MAR04631"
"HMR_8366",0.045003531598866,0.0304830270504081,0.028488031127369,0.0234319024265381,0.0245904956502477,"Amino sugar and nucleotide sugar metabolism","HMR_8366","MAR08366"
"HMR_8367",0,0,0,0.00031447335846059,0,"Amino sugar and nucleotide sugar metabolism","HMR_8367","MAR08367"
"HMR_8368",0.045003531598866,0.0304830270504081,0.028488031127369,0.0237463757849987,0.0245904956502477,"Amino sugar and nucleotide sugar metabolism","HMR_8368","MAR08368"
"HMR_8373",-0.180014126395464,-0.121932108201633,-0.113952124509476,-0.094985503139995,-0.0983619826009906,"Amino sugar and nucleotide sugar metabolism","HMR_8373","MAR08373"
"HMR_8375",0.191920127402076,0.283667750831742,0.24799167366354,0.285053726960042,0.28775943900888,"Amino sugar and nucleotide sugar metabolism","HMR_8375","MAR08375"
"HMR_5130",2.81,2.81,2.81,2.81,2.81,"Aminoacyl-tRNA biosynthesis","HMR_5130","MAR05130"
"HMR_5131",8.01,8.01,8.01,8.01,8.01,"Aminoacyl-tRNA biosynthesis","HMR_5131","MAR05131"
"HMR_5132",5.12,5.12,5.12,5.12,5.12,"Aminoacyl-tRNA biosynthesis","HMR_5132","MAR05132"
"HMR_5133",3.75,3.75,3.75,3.75,3.75,"Aminoacyl-tRNA biosynthesis","HMR_5133","MAR05133"
"HMR_5134",5.56,5.56,5.56,5.56,5.56,"Aminoacyl-tRNA biosynthesis","HMR_5134","MAR05134"
"HMR_5135",1.83,1.83,1.83,1.83,1.83,"Aminoacyl-tRNA biosynthesis","HMR_5135","MAR05135"
"HMR_5136",4.28,4.28,4.28,4.28,4.28,"Aminoacyl-tRNA biosynthesis","HMR_5136","MAR05136"
"HMR_5137",7.83,7.83,7.83,7.83,7.83,"Aminoacyl-tRNA biosynthesis","HMR_5137","MAR05137"
"HMR_5138",7.21,7.21,7.21,7.21,7.21,"Aminoacyl-tRNA biosynthesis","HMR_5138","MAR05138"
"HMR_5139",2.28,2.28,2.28,2.28,2.28,"Aminoacyl-tRNA biosynthesis","HMR_5139","MAR05139"
"HMR_5140",4.42,4.42,4.42,4.42,4.42,"Aminoacyl-tRNA biosynthesis","HMR_5140","MAR05140"
"HMR_5141",9.11,9.11,9.11,9.11,9.11,"Aminoacyl-tRNA biosynthesis","HMR_5141","MAR05141"
"HMR_5142",7.19,7.19,7.19,7.19,7.19,"Aminoacyl-tRNA biosynthesis","HMR_5142","MAR05142"
"HMR_5143",2.22,2.22,2.22,2.22,2.22,"Aminoacyl-tRNA biosynthesis","HMR_5143","MAR05143"
"HMR_5145",3.68,3.68,3.68,3.68,3.68,"Aminoacyl-tRNA biosynthesis","HMR_5145","MAR05145"
"HMR_5146",5.1,5.1,5.1,5.1,5.1,"Aminoacyl-tRNA biosynthesis","HMR_5146","MAR05146"
"HMR_5147",6.61,6.61,6.61,6.61,6.61,"Aminoacyl-tRNA biosynthesis","HMR_5147","MAR05147"
"HMR_5148",5.35,5.35,5.35,5.35,5.35,"Aminoacyl-tRNA biosynthesis","HMR_5148","MAR05148"
"HMR_5149",0.98,0.98,0.98,0.98,0.98,"Aminoacyl-tRNA biosynthesis","HMR_5149","MAR05149"
"HMR_5150",6.67,6.67,6.67,6.67,6.67,"Aminoacyl-tRNA biosynthesis","HMR_5150","MAR05150"
"HMR_5407",0,0.00645223119539027,0.000372012100234192,0.00231716615849399,0.00536626245116431,"Miscellaneous","HMR_5407","MAR05407"
"HMR_0710",0,0.0058119745948478,0,0.00182655968057741,0.00457067329083032,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_0710","MAR00710"
"HMR_4141",-0.0133395100003892,-0.0128190682909382,-0.0131025862337392,-0.0132270800865241,-0.0124613093350489,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4141","MAR04141"
"HMR_4145",-0.0133395100003892,-0.0128190682909382,-0.0131025862337392,-0.0132270800865241,-0.0124613093350489,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4145","MAR04145"
"HMR_4147",-0.00060526766580388,0,0,-0.000275300760740352,0,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4147","MAR04147"
"HMR_4152",0.0146611844986403,0.0133160183639426,0.0160702749732709,0.0166128222266262,0.0165006672862315,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4152","MAR04152"
"HMR_4408",0.00366871194379391,0,0.00179409821067396,0.000800857249057811,0.00364907672812716,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4408","MAR04408"
"HMR_4410",0.0152664521644442,0.0129375428239998,0.0160844616439088,0.0168881229873666,0.0165006672862315,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4410","MAR04410"
"HMR_4458",0.00192694216405496,0.00111376374756904,0.0030720358422721,0.00357194242861914,0.00404814295054522,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4458","MAR04458"
"HMR_4589",0,0,0.000161759785881566,8.91004722232888e-05,0.000210053287173744,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4589","MAR04589"
"HMR_4652",-0.0152664521644442,-0.0133160183639426,-0.0160702749732709,-0.0168881229873666,-0.0165006672862315,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_4652","MAR04652"
"HMR_5297",0.0117521040045935,0.0101697861803645,0.0124564487450199,0.0134647130760319,0.0127319818476976,"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism","HMR_5297","MAR05297"
"HMR_6911",0.00719398119465093,0.00685645658136253,0.00685437667313032,0.00672401712976353,0.00633780716535015,"Oxidative phosphorylation","HMR_6911","MAR06911"
"HMR_6912",0.0808002095029494,0.0654190300420875,0.0740598589440346,0.080011894433968,0.0718969912638617,"Oxidative phosphorylation","HMR_6912","MAR06912"
"HMR_6914",0.00499976595520306,0.00515667427062569,0.00326077527740654,0.00512089692725406,0.00689733610557391,"Oxidative phosphorylation","HMR_6914","MAR06914"
"HMR_6916",0.142678391931558,0.118074377165344,0.13385560830126,0.144304511302451,0.128022425591632,"Oxidative phosphorylation","HMR_6916","MAR06916"
"HMR_6918",0.0360107318895522,0.0277735801879415,0.033573875807555,0.0372124835966552,0.0318753395024865,"Oxidative phosphorylation","HMR_6918","MAR06918"
"HMR_6921",0.0529926961143402,0.0468954125920954,0.0500308925146121,0.0529942217521142,0.0483798703015826,"Oxidative phosphorylation","HMR_6921","MAR06921"
"HMR_3960",0.753558285832151,7.86717241065864,7.25428593750347,7.08559574743628,6.8407717348853,"ROS detoxification","HMR_3960","MAR03960"
"HMR_3980",0.377036585539026,3.93379504373681,3.62733783909408,3.54327079686496,3.42072229293716,"ROS detoxification","HMR_3980","MAR03980"
"HMR_3982",0.00277865797652866,0.00274562746007126,0.0028674931072095,0.00277548001656735,0.0028288540867448,"ROS detoxification","HMR_3982","MAR03982"
"HMR_4767",0.000193348946135831,0.000183681498829039,0.000165541917099415,0.000180670326717088,0.000170931677018633,"ROS detoxification","HMR_4767","MAR04767"
"HMR_8409",0,0,-4.95635278850516e-19,0.000482130702595776,0,"ROS detoxification","HMR_8409","MAR08409"
"HMR_8410",0.00013005599989573,6.39949669809195e-05,0.00012283328920723,0.000123700079973109,7.71009598212511e-05,"ROS detoxification","HMR_8410","MAR08410"
"HMR_0156",0.00109731369952321,0.00129124869249333,0.00130940014605492,0.0012833007055966,0.0013491446728589,"Fatty acid activation (cytosolic)","HMR_0156","MAR00156"
"HMR_0168",93.7920357488474,69.9022886931883,64.5591155313698,50.5825901053271,50.5198410927629,"Fatty acid activation (cytosolic)","HMR_0168","MAR00168"
"HMR_0174",0.000860462811064383,0.000492614155721447,0.00047854764574551,0.000423563391092751,0.000213469719376667,"Fatty acid activation (cytosolic)","HMR_0174","MAR00174"
"HMR_0353",-7.23653395784175e-06,-0.000145081967213115,-0.000147666443626644,-0.000131293322581484,-0.000171257170009843,"Fatty acid activation (cytosolic)","HMR_0353","MAR00353"
"HMR_0377",-2.40705341907345e-05,-3.63439442895985e-05,-0.000103655179241591,-0.000182548092725709,-0.000143668890331627,"Fatty acid activation (cytosolic)","HMR_0377","MAR00377"
"HMR_2982",7.23653395784175e-06,0.000145081967213115,0.000147666443626644,0.000131293322581484,0.000171257170009843,"Fatty acid activation (endoplasmic reticular)","HMR_2982","MAR02982"
"HMR_2591",0.00181170960187356,0.00181170960187354,0.00181170960187354,0.00191662977172145,0.00181085206119404,"Carnitine shuttle (cytosolic)","HMR_2591","MAR02591"
"HMR_2594",-0.000906822800336709,-0.000716196483958251,-0.000664149267733534,-0.000540949719075291,-0.000409005479045677,"Carnitine shuttle (cytosolic)","HMR_2594","MAR02594"
"HMR_2714",7.23653395784175e-06,0.000145081967213115,0.000147666443626644,0.000131293322581484,0.000171257170009843,"Carnitine shuttle (cytosolic)","HMR_2714","MAR02714"
"HMR_2730",2.13405597986489e-05,3.63439442895985e-05,0.000102653272741286,0.000175105365740851,0.000138359700644256,"Carnitine shuttle (cytosolic)","HMR_2730","MAR02730"
"HMR_2593",-0.00181170960187356,-0.00181170960187354,-0.00181170960187354,-0.00191662977172145,-0.00181085206119404,"Carnitine shuttle (mitochondrial)","HMR_2593","MAR02593"
"HMR_2655",-0.00016691994202132,-0.000239367681498829,-0.000236130261404308,-0.000204836321655209,-0.000229023142867886,"Carnitine shuttle (mitochondrial)","HMR_2655","MAR02655"
"HMR_2656",0.000253969122349188,0.000261112412177986,0.000287566912010715,0.000273996896889466,0.000290163934426232,"Carnitine shuttle (mitochondrial)","HMR_2656","MAR02656"
"HMR_2673",0.000507265660693843,0.000480116846747623,0.000433194931341974,0.000308143115599692,0.000455769806599969,"Carnitine shuttle (mitochondrial)","HMR_2673","MAR02673"
"HMR_2674",-0.000557150032437113,-0.000542110328945116,-0.000492060861904121,-0.000359346102064436,-0.000506068426361425,"Carnitine shuttle (mitochondrial)","HMR_2674","MAR02674"
